id_kabkota,kab_kota,prov,total_prod,loss_multi_nonclimate_rp25,loss_multi_nonclimate_rp50,loss_multi_nonclimate_rp100,loss_multi_nonclimate_rp250,loss_multi_climate_rp25,loss_multi_climate_rp50,loss_multi_climate_rp100,loss_multi_climate_rp250,aal_nonclimate_v2,aal_climate_v2
3509,Jember,Jawa Timur,607371.2,2440799450339.086,2635796873290.1562,2657833576179.122,2688745086627.523,2697167094203.3994,2722664199528.0396,2739497918678.077,2779522010928.2075,104028831818.56883,109184271360.87665
3510,Banyuwangi,Jawa Timur,462206.0,1761808427524.2686,1964411277206.7458,1966651860844.6436,1971521267861.2944,1985679041618.2322,1988250593202.6907,1989470092525.1516,1996975088325.7307,76618117195.1301,79575135672.70401
3511,Bondowoso,Jawa Timur,238677.7,1070443136200.1598,1142521425542.8518,1146825139854.2861,1154320917204.0771,1154372852086.4512,1161360133491.0051,1166854825692.0212,1178888628845.904,45097100284.4072,46551189530.68709
3512,Situbondo,Jawa Timur,141628.0,550029132397.3716,608243028734.7847,608470896557.6923,609941667365.6792,613735908882.8716,615157119356.3698,616362133306.0145,624817072250.6661,23761295599.016777,24669332451.377037
3513,Probolinggo,Jawa Timur,185412.5,719915472970.1132,787471912628.3628,789071458637.4675,792516186776.0643,800517741901.3463,802612891414.3639,805097637822.7485,811035816907.5258,30871418395.65876,32162402611.163593
3514,Pasuruan,Jawa Timur,247255.7,953063708570.8464,1028994179493.2261,1036202293097.8091,1045290609994.6047,1041687908660.3386,1049694819092.7225,1055877102423.2595,1069020689512.199,40572202392.85156,42092463018.96569
3515,Sidoarjo,Jawa Timur,194540.5,660879023201.8113,730478690908.8253,740658902138.4734,754579712746.0596,744500361505.4553,756119048262.3282,766352677428.495,787208701349.736,28773299801.980698,30428071667.865593
3516,Mojokerto,Jawa Timur,281829.4,1170522383837.2039,1246225891033.9749,1257779640715.6267,1274473290921.288,1259833810791.7473,1272536739640.3123,1284150236899.1555,1305325642426.6318,49382162366.05569,51096870594.70183
3517,Jombang,Jawa Timur,337172.1,1273003650533.3108,1388317506531.539,1412592079598.4119,1445098980999.5234,1404704003180.1804,1431823718807.0085,1454260652305.8733,1491479303872.9797,54971228607.09016,57598836159.46478
3518,Nganjuk,Jawa Timur,376476.4,1512413764984.765,1621860411408.695,1645886104097.4434,1674730277098.885,1644277491988.0645,1669336062589.4724,1688516702767.2952,1721778215511.1118,64342244593.449814,67043396989.43888
3519,Madiun,Jawa Timur,401573.7,1544152311008.5393,1684492829668.631,1701196072412.6755,1723789618659.2585,1708613721494.213,1726400928881.5708,1742306660164.5413,1773531953799.6729,66385011465.031075,69335328106.07973
